class,0,1,2,3,4,5,6,7,8
-1,0.655085528,0.156531442,0.156695878,0.170929504,0.35066246,0.136186565,0.488496394,0.163469494,0.292794162
-1,0.273506388,0.261415327,0.261689943,0.356826013,0.512420847,0.568595916,0.203953345,0.13650111,0.122245219
-1,0.444760068,0.177124288,0.177310357,0.19341652,0.39679465,0.308205791,0.552761637,0.184975091,0.331313357
-1,0.321088186,0.511489411,0.512026731,0.069817149,0.214845178,0.222504774,0.199529189,0.467390448,0.119593476
-1,0.50446124,0.150675068,0.150833352,0.493603351,0.337542985,0.131091363,0.470220083,0.157353544,0.281839737
1,0.272654687,0.407189495,0.407617248,0.355714854,0.319265727,0.354265815,0.381221686,0.297666347,0.076165341
-1,0.084148695,0.100535854,0.100641467,0.109783335,0.225220886,0.874688975,0.313747843,0.104991974,0.188053664
-1,0.310282078,0.185353282,0.371095991,0.202402433,0.41522928,0.161262341,0.578442317,0.193568824,0.346705801
-1,0.166228003,0.099299664,0.099403978,0.108433437,0.222451566,0.086393378,0.103296665,0.103700991,0.928706765
-1,0.590954028,0.353018354,0.1766946,0.19274483,0.395416676,0.153567732,0.367228018,0.184332716,0.330162784
-1,0.18606831,0.222303345,0.222536875,0.242751233,0.249002491,0.19340989,0.693754438,0.23215665,0.41582139
-1,0.368022178,0.2198455,0.220076448,0.240067311,0.492498907,0.191271499,0.457389403,0.229589865,0.411223958
1,0.426335019,0.305615827,0.305936876,0.333726958,0.228213997,0.265893991,0.423889931,0.425549133,0.190552835
-1,0.152675841,0.18240801,0.18259963,0.199186249,0.408631269,0.476099627,0.569250844,0.190493007,0.341196631
1,0.308463823,0.322467444,0.230575854,0.503040884,0.36119653,0.360714022,0.239605268,0.240543137,0.344674103
1,0.434257881,0.296471701,0.445174716,0.323741737,0.498117958,0.064484589,0.308405253,0.232209316,0.138638574
-1,0.620671438,0.185385326,0.185580073,0.202437424,0.415301065,0.16129022,0.385694878,0.193602288,0.346765739
-1,0.569939094,0.170232329,0.170411158,0.185890626,0.381355252,0.148106706,0.531253517,0.177777655,0.318421856
1,0.45442537,0.380044275,0.380443511,0.355715551,0.243250555,0.472355346,0.22590959,0.056698463,0.203107976
-1,0.720976559,0.143563315,0.143714128,0.156768545,0.321611204,0.124903946,0.448026039,0.149926572,0.268537108
1,0.302912408,0.155100738,0.103509114,0.564557338,0.289547825,0.449806047,0.268906398,0.215967167,0.386824015
1,0.430119042,0.256940319,0.257210235,0.16834451,0.345359335,0.312962985,0.374195721,0.536657726,0.096122063
-1,0.510507587,0.203308029,0.203521604,0.222008692,0.455451588,0.176883455,0.422983132,0.212319392,0.380290397
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
1,0.348483589,0.166538983,0.250070898,0.363715116,0.1865407,0.507126882,0.259863742,0.521761817,0.155756701
