class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,0.222832618,0,0.258148606,-0.02797066,0.225850497,0.010225868,0.237796729,-0.148720778,0.292265034,0.015331141,0.243336301,-0.072144194,0.170065119,-0.188053266,0.172800536,-0.173637214,0.244575369,-0.163490025,0.169825284,-0.130547286,0.172282477,-0.120661403,0.110512806,-0.188083336,0.170677858,-0.210004206,0.115602861,-0.175477825,0.065002585,-0.141203698,0.132594938,-0.223560251,0.062455196,-0.203726894
-1,0.205016554,0,0.238608921,-0.082280815,0.226787364,-0.147513388,-0.028510842,-0.339633284,0.268897662,-0.017065253,0.133614696,-0.253253409,0.090159898,-0.268340395,-0.135739439,-0.407567578,0.014668666,-0.242893465,0.088868133,-0.373104129,-0.036589478,-0.169473051,-0.049690904,-0.130574369,-0.056199832,-0.100320448,-0.052996216,-0.064347662,-0.053545371,-0.044179935,-0.047986985,-0.023736921,-0.042348014,-0.010124983
1,0.237459937,0,0.276368216,-0.017031693,0.282340975,0.002291892,0.303851809,-0.050695459,0.277081562,0.005205411,0.222315726,0.023148414,0.259136788,0.003687369,0.166059604,0.001447441,0.258834857,-0.061675163,0.234827874,-0.036905351,0.228436474,-0.11917033,0.13829178,-0.051050153,0.184177091,-0.175896719,0.176890739,-0.089695045,0.140389192,-0.076648815,0.202037887,-0.105723023,0.20010034,-0.183255457
-1,0.15786601,0,0.183732668,-0.151961855,0.187703425,0.31415991,0.143859216,-0.279413909,0,0,0,0,0,0,-0.202227976,0.046716992,0.111110655,-0.118192748,-0.206680593,-0.156481577,-0.149913258,0.288072731,0,0,0.212840671,0.263692212,0.102903054,0.269271911,0.216548255,-0.058979813,0.057077407,0.290677598,-0.076862217,0.318610462
1,0.242951306,0,0.282759357,-0.012433512,0.271942443,0.031576286,0.286337771,-0.099998842,0.24584678,-0.072902846,0.164325939,-0.08982186,0.175037005,-0.00324803,0.107045189,-0.135991448,0.167348241,-0.100729195,0.143474344,-0.078758499,0.019723053,-0.157716694,0.007530253,-0.228975937,0.010763482,-0.291549505,0.04077789,-0.220486634,0.00810159,-0.280885282,-0.019519733,-0.26649658,-0.016832643,-0.322133711
-1,0.826831865,0,0.022489182,-0.010433291,-0.097563534,-0.196612396,-0.008072596,-0.173037811,0.159481336,0.100414609,0.04010211,-0.095016176,0,0,-0.048425714,-0.261943421,-0.003690025,-0.160481614,-0.125299481,-0.081466036,0.02062392,0.055357751,0.016859372,0.01308632,0.039161682,-0.023374962,-0.033833174,0.130074401,-0.089135468,0.011250416,0,0,-0.000484844,0.200432328
1,0.172714903,0,0.196166109,-0.039030132,0.194271504,-0.071491643,0.205105519,-0.086664705,0.194807719,-0.086410789,0.176488755,-0.15094896,0.172559002,-0.164629016,0.165114121,-0.216317682,0.130215822,-0.223854529,0.085591317,-0.231467817,0.085139674,-0.241299599,0.073953662,-0.24550719,0.053073562,-0.259672653,0.02979403,-0.243074174,0.010912388,-0.264527592,-0.010363108,-0.258606497,-0.035919923,-0.28226184
-1,0,0,0,0,0,0,0.215781476,-0.29847095,0,0,-0.216029019,-0.307499651,0,0,0,0,0.219412143,0.321011753,-0.220776959,-0.306890756,0,0,0,0,0.227357177,0.310576082,0.212972343,0.287637232,0,0,0.237404769,0.310502865,0,0
1,0.170956467,0,0.191715637,-0.026228882,0.203268038,-0.048762365,0.218754508,-0.064489574,0.224224792,-0.11315922,0.202733356,-0.13582042,0.206360006,-0.130544651,0.197955754,-0.161645983,0.218664921,-0.114738493,0.189209715,-0.205400823,0.174805156,-0.189013505,0.159805604,-0.195693779,0.196160562,-0.206041237,0.124312584,-0.203280394,0.059646276,-0.203121461,0.108578447,-0.229094439,0.099976957,-0.253321069
-1,0.444201961,0,-0.009636607,-0.080090665,0,0,0,0,0.066825465,-0.217914015,-0.259844976,-0.309191347,0,0,-0.191511815,0.349566296,-0.214614216,0.12699038,0.370614005,0.178775722,0,0,0,0,-0.088653563,-0.010847991,0.115817953,-0.017381062,0,0,0.103777806,0.197000842,-0.054819924,0.341253964
